"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.914999987E-3,1.710942078E-1,-1.167572021E-2,9.734556885E0
1.588100000E-2,5.149291992E-2,9.131011963E-3,9.840686188E0
2.584699998E-2,2.549198914E-1,-1.212478638E-2,9.896819458E0
3.581199999E-2,1.812730408E-1,9.729766846E-3,9.978699188E0
4.577800000E-2,2.680924988E-1,-2.365081787E-2,9.928553467E0
5.574399998E-2,1.161584473E-1,8.981323242E-4,9.880802765E0
6.570899999E-2,1.121168518E-1,-3.008743286E-2,9.865384827E0
7.567500000E-2,-1.496887207E-3,2.050735474E-2,9.907297668E0
8.564099998E-2,2.721340942E-1,-1.047821045E-3,9.986333313E0
9.560599999E-2,1.558259583E-1,1.916015625E-2,9.990075531E0
1.055720000E-1,1.339714050E-1,-1.167572021E-2,9.891879730E0
1.155380000E-1,1.692979431E-1,1.975891113E-2,9.808503113E0
1.255030000E-1,2.544708252E-3,-8.981323242E-3,9.872420197E0
1.354690000E-1,2.817141724E-1,3.802093506E-2,9.927505646E0
1.454350000E-1,1.969903564E-1,4.640350342E-3,9.989177399E0
1.554000000E-1,2.270777893E-1,1.122665405E-2,9.913734283E0
1.653660000E-1,5.343887329E-2,-1.676513672E-2,9.827064514E0
1.753310000E-1,1.707948303E-1,7.933502197E-3,9.808503113E0
1.852970000E-1,2.948867798E-2,-9.430389404E-3,9.894574127E0
1.952630000E-1,2.615061951E-1,2.409988403E-2,9.923164673E0
2.052280000E-1,1.567240906E-1,-1.137634277E-2,9.907147980E0
2.151940000E-1,1.689985657E-1,6.436614990E-3,9.791737976E0
2.251600000E-1,1.728904724E-1,-1.766326904E-2,9.742041321E0
2.351250000E-1,1.017883301E-1,-1.796264648E-3,9.733509064E0
2.450910000E-1,1.218466187E-1,-3.442840576E-3,9.830357666E0
2.550570000E-1,2.236349487E-1,3.697311401E-2,9.860894165E0
2.650220000E-1,2.056723022E-1,-1.047821045E-2,9.887838135E0
2.749880000E-1,1.886077881E-1,2.993774414E-4,9.764494629E0
2.849540000E-1,7.679031372E-2,-1.751358032E-2,9.778265991E0
2.949190000E-1,1.089733887E-1,6.137237549E-3,9.810748444E0
3.048850000E-1,1.510359192E-1,1.017883301E-2,9.961484985E0
3.148510000E-1,3.617976379E-1,1.706451416E-2,9.947713623E0
3.248160000E-1,7.544311523E-2,-2.993774414E-4,9.907147980E0
3.347820000E-1,2.282752991E-1,1.721420288E-2,9.769883423E0
3.447480000E-1,-1.077758789E-2,7.783813477E-3,9.843081207E0
3.547130000E-1,2.457888794E-1,2.080673218E-2,9.861193542E0
3.646790000E-1,1.384620667E-1,1.766326904E-2,9.941127319E0
3.746450000E-1,2.612068176E-1,1.047821045E-2,9.867480469E0
3.846100000E-1,3.083587646E-2,1.017883301E-2,9.831704865E0
3.945760000E-1,2.318678284E-1,1.062789917E-2,9.747879181E0
4.045420000E-1,5.912704468E-2,-3.143463135E-3,9.826914825E0
4.145070000E-1,1.305285645E-1,2.320175171E-2,9.852062531E0
4.244730000E-1,1.751358032E-1,1.841171265E-2,9.937534790E0
4.344390000E-1,1.971400452E-1,4.939727783E-3,9.856253815E0
4.444040000E-1,1.197509766E-1,7.933502197E-3,9.820777588E0
4.543700000E-1,8.262817383E-2,-5.688171387E-3,9.754615173E0
4.643360000E-1,7.319778442E-2,1.317260742E-2,9.865085449E0
4.743010000E-1,2.311193848E-1,5.239105225E-3,9.897118835E0
4.842670000E-1,1.728904724E-1,1.811233521E-2,9.971663818E0
4.942330000E-1,1.625619507E-1,-6.885681152E-3,9.824669495E0
5.041980000E-1,2.993774414E-2,1.107696533E-2,9.810898132E0
5.141640000E-1,1.646575928E-1,-3.742218018E-3,9.840985565E0
5.241300000E-1,7.903564453E-2,1.706451416E-2,9.959389343E0
5.340950000E-1,2.609074402E-1,5.837860107E-3,9.914333038E0
