"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.421999980E-3,1.940838993E-4,4.668929614E-5,2.612504177E-3
1.338799999E-2,-2.188113518E-3,-2.928594127E-3,1.321403892E-3
2.335399998E-2,5.471929908E-4,-4.128934816E-4,1.440512016E-3
3.331899998E-2,-1.669888385E-3,-5.378090777E-3,-1.009255648E-4
4.328499999E-2,1.409703400E-3,1.194843207E-3,-2.020822838E-3
5.325099998E-2,2.008914482E-3,-2.193496795E-3,2.180313691E-3
6.321599998E-2,1.100331545E-3,-4.038386978E-4,3.832030809E-3
7.318199999E-2,7.410710678E-4,-4.109627567E-3,9.856440593E-4
8.314799998E-2,7.465230301E-4,-6.516340654E-4,-8.298004832E-5
9.311299998E-2,1.546802931E-3,-4.734260030E-3,3.491781186E-3
1.030790000E-1,6.746966392E-4,6.048735231E-4,8.409467991E-4
1.130450000E-1,1.288821921E-3,-2.118741162E-3,4.680692684E-3
1.230100000E-1,2.017732244E-3,-6.766463630E-4,1.595258014E-3
1.329760000E-1,-1.563686412E-3,-3.417039290E-3,1.112693222E-3
1.429420000E-1,2.069847193E-3,1.570779481E-3,-1.537163160E-3
1.529070000E-1,-1.043121796E-3,3.356053494E-4,8.442354156E-4
1.628730000E-1,1.104903873E-3,-7.312849630E-4,5.398695357E-3
1.728390000E-1,1.375481021E-3,-4.312419333E-5,-2.456084767E-4
1.828040000E-1,-7.327036001E-4,2.221174538E-3,1.888159604E-4
1.927700000E-1,1.372258645E-3,2.398274606E-3,-1.729991636E-3
2.027360000E-1,-5.103806034E-4,-1.484195469E-3,2.245005220E-3
2.127010000E-1,8.180043660E-4,-1.081265509E-6,1.192700292E-4
2.226670000E-1,-6.426079199E-4,2.429988701E-3,1.897942508E-3
2.326330000E-1,2.475687535E-3,2.856094390E-3,8.941972046E-4
2.425980000E-1,1.785624772E-5,5.384233315E-3,9.759562672E-4
2.525640000E-1,-9.446102194E-4,4.763983190E-3,-1.277610660E-3
2.625300000E-1,5.570119247E-4,4.099926911E-3,3.252908587E-3
2.724950000E-1,-1.076304354E-3,1.373382751E-3,8.099909755E-4
2.824610000E-1,-2.124737948E-3,6.333627738E-3,7.688524202E-4
2.924270000E-1,-2.842275426E-4,3.011600580E-3,5.086616147E-4
3.023920000E-1,-7.496038452E-4,9.000897408E-3,7.693896187E-4
3.123580000E-1,5.814442411E-4,5.359557923E-3,7.566064596E-4
3.223240000E-1,-3.712377045E-3,4.880996421E-3,-6.935546844E-5
3.322890000E-1,-2.040444408E-3,7.600350305E-3,1.479006372E-3
