"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.465004921E-3,6.038106635E1,5.353187870E0,5.754551092E0,0.000000000E0,-1.000000000E0,4.695397429E0,4.695397429E0
8.843238354E-1,6.038105636E1,5.353203946E0,6.487744818E0,0.000000000E0,-1.000000000E0,4.694582325E0,4.694582325E0
1.884335756E0,6.038104881E1,5.353214025E0,6.797167052E0,0.000000000E0,-1.000000000E0,4.695423651E0,4.695423651E0
2.884347081E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.695674202E0,4.695674202E0
3.884358644E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.699710418E0,4.699710418E0
4.884371042E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.699770373E0,4.699770373E0
5.884383321E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.687392924E0,4.687392924E0
6.884393215E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.681874667E0,4.681874667E0
7.884404302E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.681984182E0,4.681984182E0
8.884416342E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.684011393E0,4.684011393E0
9.884426951E0,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.685926285E0,4.685926285E0
1.088443816E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.687506834E0,4.687506834E0
1.188444901E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.688521510E0,4.688521510E0
1.288446033E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.689289075E0,4.689289075E0
1.388447177E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.690247566E0,4.690247566E0
1.488448191E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.690893029E0,4.690893029E0
1.588449299E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.691601962E0,4.691601962E0
1.688450408E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.692798518E0,4.692798518E0
1.788608944E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.694061018E0,4.694061018E0
1.888571334E1,6.038104872E1,5.353214204E0,6.786671762E0,0.000000000E0,-1.000000000E0,4.694835918E0,4.694835918E0
1.988562763E1,6.038104645E1,5.353265455E0,1.105960251E1,0.000000000E0,-1.000000000E0,4.694876601E0,4.694876601E0
2.088587117E1,6.038103807E1,5.353273425E0,1.105601241E1,8.380498287E-1,1.640669339E2,4.689177737E0,4.689177737E0
2.188546729E1,6.038103380E1,5.353273747E0,1.102535446E1,0.000000000E0,1.663480761E2,4.690859187E0,4.690859187E0
2.288536286E1,6.038103380E1,5.353273747E0,1.102535446E1,0.000000000E0,1.663480761E2,4.695336597E0,4.695336597E0
2.388559628E1,6.038098121E1,5.353303830E0,1.133300299E1,2.723494943E0,1.646669908E2,4.698462147E0,4.698462147E0
2.488519120E1,6.038095033E1,5.353325646E0,1.139586445E1,3.395273881E0,1.632653478E2,4.696873384E0,4.696873384E0
2.588509059E1,6.038086009E1,5.353033981E0,1.139917214E1,3.949632820E0,1.607610321E2,2.005698675E1,2.005698675E1
2.688533366E1,6.038081071E1,5.353068793E0,1.137585469E1,4.949736257E0,1.607610321E2,2.028574257E1,2.028574257E1
2.788525581E1,6.038075888E1,5.353105334E0,1.155794102E1,5.646292327E0,1.607610321E2,1.989545615E1,1.989545615E1
2.888516140E1,6.038070744E1,5.353141597E0,1.106077530E1,6.083144639E0,1.607610321E2,2.007815359E1,2.007815359E1
2.988481402E1,6.038064764E1,5.353183757E0,1.017528136E1,6.670730376E0,1.607610321E2,1.958988593E1,1.958988593E1
3.088469779E1,6.038057350E1,5.353264969E0,9.595352897E0,6.816157576E0,1.531522675E2,1.835359934E1,1.835359934E1
3.188461292E1,6.038050397E1,5.353378261E0,9.188670020E0,7.023807325E0,1.432421112E2,1.536411696E1,1.536411696E1
3.288453579E1,6.038044813E1,5.353483327E0,8.447202782E0,7.263303600E0,1.392593231E2,1.512609332E1,1.512609332E1
3.388446510E1,6.038040227E1,5.353646270E0,7.724978462E0,7.322530256E0,1.270730362E2,1.291441489E1,1.291441489E1
3.488439691E1,6.038037824E1,5.353779073E0,6.986316682E0,6.677652612E0,1.158577805E2,1.020373025E1,1.020373025E1
3.588433397E1,6.038035496E1,5.353876107E0,7.289649834E0,6.391088039E0,1.158577805E2,9.273602999E0,9.273602999E0
3.688427484E1,6.038034429E1,5.353997458E0,7.098421551E0,6.113282414E0,1.066139297E2,4.877191148E0,4.877191148E0
3.788422048E1,6.038033059E1,5.354090221E0,8.283926934E0,5.912426436E0,1.066139297E2,5.414698808E0,5.414698808E0
3.888416934E1,6.038031738E1,5.354179609E0,8.885100724E0,5.832825160E0,1.066139297E2,6.719664736E0,6.719664736E0
3.988412225E1,6.038031128E1,5.354257657E0,8.064590435E0,5.666386830E0,1.064822769E2,8.615701093E0,8.615701093E0
4.088407767E1,6.038027985E1,5.354334939E0,8.920359867E0,5.621494606E0,1.064822769E2,1.063638551E1,1.063638551E1
4.188403738E1,6.038027974E1,5.354436667E0,9.534216883E0,5.617499988E0,1.064822769E2,1.286255011E1,1.286255011E1
4.288399887E1,6.038026581E1,5.354531749E0,9.910245278E0,5.629397695E0,1.064822769E2,1.506490486E1,1.506490486E1
4.388396275E1,6.038025173E1,5.354627895E0,1.093867238E1,5.651180272E0,1.064822769E2,1.767983907E1,1.767983907E1
4.488393068E1,6.038023787E1,5.354722566E0,1.183084220E1,5.661554302E0,1.064822769E2,2.075724722E1,2.075724722E1
4.588389862E1,6.038022447E1,5.354814019E0,1.126718326E1,5.646901065E0,1.064822769E2,2.371729852E1,2.371729852E1
4.702699566E1,6.038020892E1,5.354920169E0,1.346081091E1,5.660280376E0,1.064822769E2,2.493652443E1,2.493652443E1
5.842929101E1,6.037975826E1,5.355691436E0,1.346081066E1,-1.000000000E0,-1.000000000E0,1.554964963E2,1.554964963E2
5.844490492E1,6.037975785E1,5.355692494E0,1.346081066E1,-1.000000000E0,-1.000000000E0,1.554968750E2,1.554968750E2
5.845006001E1,6.037975772E1,5.355692844E0,1.346081066E1,-1.000000000E0,-1.000000000E0,1.554969163E2,1.554969163E2
8.063125002E1,6.037926850E1,5.356962864E0,1.346081066E1,-1.000000000E0,-1.000000000E0,5.767936280E2,5.767936280E2
1.119261119E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240004E2,7.075240004E2
1.122807280E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240004E2,7.075240004E2
1.142430540E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240007E2,7.075240007E2
1.142693110E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240007E2,7.075240007E2
1.142748120E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240007E2,7.075240007E2
1.142797970E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240007E2,7.075240007E2
1.192103599E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240024E2,7.075240024E2
1.192124150E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240024E2,7.075240024E2
1.263744400E2,6.037911513E1,5.357361035E0,1.346081066E1,-1.000000000E0,-1.000000000E0,7.075240061E2,7.075240061E2
1.512409329E2,6.037813019E1,5.356165588E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.177159010E2,8.177159010E2
1.512552819E2,6.037728614E1,5.355141144E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.177160020E2,8.177160020E2
1.535997790E2,6.037653092E1,5.354224516E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.204383373E2,8.204383373E2
1.551905470E2,6.037650609E1,5.354194385E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.217645713E2,8.217645713E2
1.552108560E2,6.037650578E1,5.354194005E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.217647948E2,8.217647948E2
1.552148889E2,6.037650572E1,5.354193930E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.217648036E2,8.217648036E2
1.560486990E2,6.037649295E1,5.354178441E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.221424463E2,8.221424463E2
1.656957409E2,6.037515195E1,5.352544925E0,1.346081066E1,-1.000000000E0,-1.000000000E0,8.728593821E2,8.728593821E2
